SpeciesName,ScientificName,Count,Date,Observer,Location
Atlas Moth,Attacus atlas,,,,Periyar National Park
Common Jezebel,Delias eucharis,,,,Kaziranga National Park
Giant Wood Spider,Nephila pilipes,,,,Silent Valley National Park
Great Eggfly,Hypolimnas bolina,,,,Keoladeo National Park
Common Mormon,Papilio polytes,,,,Nagarhole National Park
Asian Giant Hornet,Vespa mandarinia,,,,Namdapha National Park
Indian Moon Moth,Actias selene,,,,Bandipur National Park
Painted Grasshopper,Poekilocerus pictus,,,,Ranthambore National Park
Blue Mormon,Papilio polymnestor,,,,"Sanctuary of Joy, Goa"
Golden Birdwing,Troides aeacus,,,,Eaglenest Wildlife Sanctuary
Common Tiger,Danaus genutia,,,,Manas National Park
Blue Tiger,Tirumala limniace,,,,Bannerghatta National Park
Crimson Rose,Pachliopta hector,,,,Kudremukh National Park
Common Crow,Euploea core,,,,Bandhavgarh National Park
Plain Tiger,Danaus chrysippus,,,,Kanha National Park
Tawny Coster,Acraea terpsichore,,,,Mudumalai National Park
Common Evening Brown,Melanitis leda,,,,Gir National Park
Great Orange-tip,Hebomoia glaucippe,,,,Anamalai Tiger Reserve
Striped Tiger,Danaus genutia,,,,Jim Corbett National Park
Peacock Pansy,Junonia almana,,,,Sundarbans National Park
Scarlet Skimmer,Crocothemis servilia,,,,Keoladeo National Park
Common Emigrant,Catopsilia pomona,,,,Kaziranga National Park
Danaid Eggfly,Hypolimnas misippus,,,,Periyar National Park
Great Mormon,Papilio memnon,,,,Nagarhole National Park
Common Sailor,Neptis hylas,,,,Bandipur National Park
Yellow Orange Tip,Ixias pyrene,,,,Ranthambore National Park
Common Pierrot,Castalius rosimon,,,,Mudumalai National Park
Glasswing Butterfly,Greta oto,,,,Silent Valley National Park
Common Banded Peacock,Papilio crino,,,,Manas National Park
Psyche,Leptosia nina,,,,Kaziranga National Park
Painted Lady,Vanessa cardui,,,,Bannerghatta National Park
Brown Awl,Badamia exclamationis,,,,Anamalai Tiger Reserve
Tailed Jay,Graphium agamemnon,,,,Jim Corbett National Park
Common Leopard,Phalanta phalantha,,,,Bandhavgarh National Park
Common Nawab,Polyura athamas,,,,Kanha National Park
Striped Albatross,Appias libythea,,,,Manas National Park
Common Sailer,Neptis hylas,,,,Bannerghatta National Park
Spotted Grasshopper,Acrida exaltata,,,,Kaziranga National Park
Yellow Swallowtail,Papilio machaon,,,,Sundarbans National Park
Scarlet Skimmer,Orthetrum testaceum,,,,Keoladeo National Park
Black Rajah,Charaxes solon,,,,Periyar National Park
