SpeciesName,ScientificName,Count,Date,Observer,Location
Little Bittern,Ixobrychus minutus,2,11 May 2024,Reyan sofi,"Hokersar Wetland, Budgam, Jammu and Kashmir"
Large-billed Leaf Warbler,Phylloscopus magnirostris,8,11 May 2024,Suebsawat Sawat-chuto,"Mandala, West Kameng, Arunachal Pradesh"
Goldcrest,Regulus regulus,20,11 May 2024,Mohammad Ishaq Lone,"Arshan, Anantnag, Jammu and Kashmir"
Himalayan Rubythroat,Calliope pectoralis,7,11 May 2024,Mohammad Ishaq Lone,"Arshan, Anantnag, Jammu and Kashmir"
Pink-browed Rosefinch,Carpodacus rodochroa,30,11 May 2024,Mohammad Ishaq Lone,"Arshan, Anantnag, Jammu and Kashmir"
Mountain Chiffchaff,Phylloscopus sindianus,36,11 May 2024,Padma Gyalpo,"Chuchot Road, Chuchot Shama, Leh, Ladakh"
Indian Pitta,Pitta brachyura,12,11 May 2024,Rahul Chakraborty,"Bishnupur, Bankura, West Bengal"
Besra,Accipiter virgatus,2,11 May 2024,Dambar kumar Pradhan,"Bamphu Thanks Golai Ewls, West Kameng, Arunachal Pradesh"
Slaty-breasted Rail,Lewinia striata,5,11 May 2024,Shajan Shaki,"Katatipalayam Backside, Erode, Tamil Nadu"
Fire-tailed Sunbird,Aethopyga ignicauda,20,11 May 2024,Chris Campion,"Sela Pass, West Kameng, Arunachal Pradesh"
Gray-headed Parakeet,Psittacula finschii,6,10 May 2024,Yimkong Angba,"Changtongya - Longleng Road, Longleng, Nagaland"
Nepal House-Martin,Delichon nipalense,150,10 May 2024,Mainul Ahsan,"Paporkheti, Kalimpong, West Bengal"
Blue-capped Rock-Thrush,Monticola cinclorhyncha,6,10 May 2024,Rajesh Panwar,"Dotiyal Nail Deghat Road, Jorasi Range, Almora, Uttarakhand"
Blue Rock-Thrush,Monticola solitarius,5,10 May 2024,Ranjani Chandran,"Baj khet trail, Almora, Uttarakhand"
White-browed Piculet,Sasia ochracea,4,10 May 2024,Utsav Biswas,"Eaglenest WLS & Surroundings--Bompu Camp, West Kameng, Arunachal Pradesh"
Nilgiri Wood-Pigeon,Columba elphinstonii,30,10 May 2024,Adv Basavaraj Hosagoudar,"Dajipur Wildlife sanctuary, Kolhapur, Maharashtra"
Green-crowned Warbler,Phylloscopus burkii,6,10 May 2024,Chris Campion,"Eaglenest WLS & Surroundings--Eaglenest Pass, West Kameng, Arunachal Pradesh"
Ferruginous Flycatcher,Muscicapa ferruginea,4,10 May 2024,Prasanna Kalita,"Singchung Bugun Village Community Reserve (SBVCR), West Kameng, Arunachal Pradesh"
Black Redstart,Phoenicurus ochruros,42,9 May 2024,Choldan Gasha,"Spituk, Leh, Ladakh"
